year ,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
2021,Mumbai Indians,Royal Challengers Bangalore,159,160,Royal Challengers Bangalore,Field,RCB,2 wickets,Harshal Patel,MA Chidambaram Stadium,Chepauk
2021,Chennai Super Kings,Delhi Capitals,188,190,Delhi Capitals,Field,Capitals,7 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai
2021,Kolkata Knight Riders,Sunrisers Hyderabad,187,177,Sunrisers Hyderabad,Field,KKR,10 runs,Nitish Rana,MA Chidambaram Stadium,Chepauk
2021,Punjab Kings,Rajasthan Royals,221,217,Rajasthan Royals,Field,Punjab,4 runs,Sanju Samson,Wankhede Stadium,Mumbai
2021,Mumbai Indians,Kolkata Knight Riders,152,142,Kolkata Knight Riders,Field,Mumbai,10 runs,Rahul Chahar,MA Chidambaram Stadium,Chepauk
2021,Royal Challengers Bangalore,Sunrisers Hyderabad,149,143,Sunrisers Hyderabad,Field,RCB,6 runs,Glenn Maxwell,MA Chidambaram Stadium,Chepauk
2021,Delhi Capitals,Rajasthan Royals,147,150,Rajasthan Royals,Field,Royals,3 wickets,Jaydev Unadkat,Wankhede Stadium,Mumbai
2021,Punjab Kings,Chennai Super Kings,106,107,Chennai Super Kings,Field,Super,6 wickets,Deepak Chahar,Wankhede Stadium,Mumbai
2021,Mumbai Indians,Sunrisers Hyderabad,150,137,Mumbai Indians,Bat,Mumbai,13 runs,Kieron Pollard,MA Chidambaram Stadium,Chepauk
2021,Royal Challengers Bangalore,Kolkata Knight Riders,204,166,Royal Challengers Bangalore,Bat,RCB,38 runs,AB de Villiers,MA Chidambaram Stadium,Chepauk
2021,Punjab Kings,Delhi Capitals,195,198,Delhi Capitals,Field,Capitals,6 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai
2021,Chennai Super Kings,Rajasthan Royals,188,143,Rajasthan Royals,Field,Super,45 runs,Moeen Ali,Wankhede Stadium,Mumbai
2021,Mumbai Indians,Delhi Capitals,137,138,Mumbai Indians,Bat,Capitals,6 wickets,Amit Mishra,MA Chidambaram Stadium,Chepauk
2021,Punjab Kings,Sunrisers Hyderabad,120,121,Punjab Kings,Bat,Sunrisers,9 wickets,Jonny Bairstow,MA Chidambaram Stadium,Chepauk
2021,Chennai Super Kings,Kolkata Knight Riders,220,202,Kolkata Knight Riders,Field,Super,18 runs,Faf du Plessis,Wankhede Stadium,Mumbai
2021,Rajasthan Royals,Royal Challengers Bangalore,177,181,Royal Challengers Bangalore,Field,RCB,10 wickets,Devdutt Padikkal,Wankhede Stadium,Mumbai
